SatelliteID,WOST #,Age,Year,Duty Cycle,Colony,Tag Type,Capture,Date tagged,DateStopGPS,Comment
407680,9992,Adult,2006,SREL,Jax,GPS,other,10/07/2005,18/06/2011,good
407700,200619,Adult,2006,SREL,Welaka,GPS,rocket net,29/06/2006,07/12/2009,good
407710,200622,Adult,2006,SREL,Welaka,GPS,rocket net,29/06/2006,16/11/2006,good
407800,-9998,Juvenile,2006,SREL,Kings Bay,GPS,Hand,01/06/2006,27/06/2008,good
414240,200612,Adult,2006,SREL,Harris Neck,GPS,rocket net,04/04/2006,02/04/2011,good
414250,200610,Adult,2006,SREL,Harris Neck,GPS,rocket net,04/04/2006,19/10/2007,good
414260,200614,Adult,2006,SREL,Harris Neck,GPS,rocket net,05/04/2006,16/02/2010,good
414270,200615,Adult,2006,SREL,White Hall,GPS,rocket net,13/04/2006,08/12/2006,good
414580,200602,Adult,2006,SREL,Corkscrew,GPS,rocket net,28/03/2006,24/09/2012,good
414590,9993,Adult,2006,SREL,Jax,GPS,other,13/03/2006,31/12/2012,alive
414600,200605,Adult,2006,SREL,Corkscrew,GPS,rocket net,29/03/2006,21/02/2009,good
414610,200611,Adult,2006,SREL,Harris Neck,GPS,rocket net,04/04/2006,24/06/2006,good
416100,200601,Adult,2006,SREL,Corkscrew,GPS,rocket net,27/03/2006,01/06/2006,good
416110,9995,Adult,2006,SREL,Jax,GPS,other,17/04/2006,04/06/2010,good
425120,200620,Adult,2006,SREL,Welaka,GPS,rocket net,29/06/2006,27/03/2010,good
425140,200608,Adult,2006,SREL,Harris Neck,GPS,rocket net,04/04/2006,06/10/2012,good
429190,200618,Adult,2006,SREL,Welaka,GPS,rocket net,29/06/2006,17/06/2010,good
429200,9996,Adult,2004,SREL,Jax,GPS,other,03/06/2004,20/10/2012,good
475160,76,Juvenile,2004,UFL,WPB,GPS,Hand,07/05/2004,18/11/2004,good
475170,80,Juvenile,2004,UFL,WPB,GPS,Hand,13/05/2004,08/11/2004,good
475171,112,Juvenile,2005,UFL,WPB,GPS,Hand,06/05/2005,03/07/2010,good
475180,77,Juvenile+,2004,UFL,WPB,GPS,Hand,13/05/2004,25/01/2012,good
475190,81,Juvenile,2004,UFL,WPB,GPS,Hand,14/05/2004,15/07/2004,good
475191,99,Juvenile,2005,UFL,WPB,GPS,Hand,18/04/2005,30/06/2005,good
475192,200613,Adult,2006,UFL,Harris Neck,GPS,rocket net,05/04/2006,26/05/2005,good
475200,88,Juvenile,2004,UFL,WPB,GPS,Hand,21/05/2004,12/10/2005,good
475201,200617,SubAdult,2006,UFL,Noxubee,GPS,Rocket Net,18/08/2006,27/11/2006,good
475210,89,Juvenile,2004,UFL,WPB,GPS,Hand,27/05/2004,18/11/2004,good
475211,97,Juvenile,2005,UFL,WPB,GPS,Hand,15/04/2005,28/08/2005,good
475220,78,Juvenile,2004,UFL,WPB,GPS,Hand,13/05/2004,11/05/2009,good
475230,84,Juvenile,2004,UFL,WPB,GPS,Hand,20/05/2004,16/04/2005,good
475240,85,Juvenile,2004,UFL,WPB,GPS,Hand,20/05/2004,03/10/2005,good
475241,200623,Adult,2006,UFL,Welaka,GPS,rocket net,29/06/2006,03/07/2006,good
475250,73,Juvenile,2004,UFL,WPB,GPS,Hand,06/05/2004,09/08/2004,good
475251,108,Juvenile,2005,UFL,WPB,GPS,Hand,05/05/2005,21/08/2006,"tag never worked well, don't use"
475260,74,Juvenile,2004,UFL,WPB,GPS,Hand,06/05/2004,17/08/2004,good
475270,79,Juvenile,2004,UFL,WPB,GPS,Hand,14/05/2004,01/09/2009,good
475280,86,Juvenile,2004,UFL,WPB,GPS,Hand,20/05/2004,30/07/2004,good
